"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.125","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.980","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.804","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.761","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.872","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.978","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.467","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.073","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.874","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.792","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.947","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.847","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.044","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.923","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.000","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.836","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.797","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.628","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.967","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.075","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.075","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.994","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.899","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.824","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.903","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.762","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.757","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","5.083","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.647","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.679","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.792","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.952","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.362","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.038","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.304","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.195","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.848","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.958","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.826","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.169","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.180","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.272","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.958","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.270","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.514","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.781","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.616","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.774","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.017","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.919","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.884","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.245","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.790","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.244","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.266","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.879","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.873","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.964","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.130","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.778","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.159","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.137","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.963","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.223","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.934","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.279","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.055","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.055","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.906","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.899","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.763","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.029","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.403","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.371","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.112","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.221","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.901","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.952","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.928","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.845","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","9.651","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.078","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.772","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.899","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.108","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.985","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.374","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.072","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.919","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.667","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.870","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.599","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.884","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.839","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.730","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.858","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.099","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.230","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.520","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.284","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.650","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.834","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.635","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.682","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.016","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.632","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.014","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.745","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.734","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.661","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.786","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.842","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.260","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.992","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.659","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.645","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.720","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.766","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.843","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.803","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.947","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.771","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.703","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.511","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.908","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.809","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.829","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.886","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.645","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.751","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.855","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.619","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.677","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","2.360","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.360","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.595","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.695","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.814","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.092","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.611","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.802","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.071","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.727","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.097","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.903","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.965","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.098","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
