Provider_ID,Hospital Name,Address,City,State,ZIP Code,County,Measure Name,Measure ID,VHA National Rate,Compare to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnotes,Measure Start Date,Measure End Date
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,112,8.54,6.11,11.49,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,304,5.68,3.84,8.34,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,355,9.64,7.3,12.45,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,268,10.49,8.01,13.41,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,81,15.94,13.42,19.32,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,299,19.09,15.53,23.3,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,413,20.56,17.74,23.77,,10/1/2012,9/30/2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,292,15.21,12.66,18.01,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,240,10.07,7.93,12.65,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,340,6.86,5.2,9.46,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,448,8.61,6.77,11.26,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,394,8.89,7.14,11.3,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,226,14.89,12.53,17.47,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,358,16.05,13.16,19.79,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,471,18.64,16.2,21.8,,10/1/2012,9/30/2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,398,16.51,14.03,19.78,,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,154,4.78,2.95,7.69,,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,72,8.59,5.85,12.38,,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,242,9.2,6.96,12,,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,160,13.2,10.05,16.9,,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,75,18.1,14.66,21.77,,10/1/2012,9/30/2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,236,13.71,11.18,16.28,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,32,9.71,7.19,13.59,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,Worse than the VHA National Rate,267,10.02,6.94,13.83,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,206,9.05,6.73,12.42,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,358,8.83,7.14,11.32,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,301,16.52,12.99,20.08,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,226,20.19,16.7,23.6,,10/1/2012,9/30/2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,354,14.17,11.94,16.51,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,201,10.39,8.02,13.32,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,548,6.85,5.23,8.65,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,528,9.12,6.97,11.66,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,557,8.16,6.57,10.18,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,173,16.04,13.71,19.15,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,581,18.86,15.98,22.05,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,580,21,18.34,23.84,,10/1/2012,9/30/2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,562,15.65,13.61,18.09,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,131,9.48,7.06,12.85,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,163,5.27,3.52,7.55,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,Worse than the VHA National Rate,289,11.59,8.56,15.02,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,190,9.64,7.17,12.01,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,28,16.19,13.46,20.11,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,159,18.13,14.39,22.52,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,286,21.45,18.42,25.51,,10/1/2012,9/30/2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,181,13.9,11.49,16.75,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,98,10.05,7.73,13.28,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,255,5.95,4.21,8.21,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,404,6.12,4.49,8.23,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,270,8.59,6.52,10.59,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,55,15.83,13.27,19.36,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,268,16.93,13.64,20.83,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,Worse than the VHA National Rate,471,23.15,20.02,26.39,,10/1/2012,9/30/2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,245,14.62,12.02,17.45,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,84,9.15,6.91,11.94,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,145,4.97,3.14,7.51,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,387,8.36,6.37,11.02,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,328,9.21,7.1,11.71,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,39,15.4,12.29,18.65,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,156,13.41,9.9,18.08,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,428,16.86,14.19,20.3,,10/1/2012,9/30/2015
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,307,12.96,10.67,15.49,,10/1/2012,9/30/2015
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,135,9.02,6.91,11.93,,10/1/2012,9/30/2015
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,157,4.38,2.79,6.78,,10/1/2012,9/30/2015
