Provider_ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Numerator,Denominator,"Observed Rate per 1,000",Footnotes,Measure Start Date,Measure End Date
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Postoperative Respiratory Failure (PSI11),PSI-11,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Perioperative Blood Clot/Embolism (PSI12),PSI-12,0,31,0,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Postoperative Sepsis (PSI13),PSI-13,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,0,39,0,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Pressure Ulcer Rate (PSI03),PSI-3,0,742,0,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Inpatient Surgical Deaths (PSI04),PSI-4,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Collapsed lung due to medical treatment (PSI06),PSI-6,0,1279,0,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,1,919,1.09,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Postoperative Hip Fracture (PSI08),PSI-8,0,1104,0,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Perioperative Bleeding/Bruise (PSI09),PSI-9,0,31,0,,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Postoperative Respiratory Failure (PSI11),PSI-11,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Perioperative Blood Clot/Embolism (PSI12),PSI-12,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Postoperative Sepsis (PSI13),PSI-13,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Pressure Ulcer Rate (PSI03),PSI-3,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Inpatient Surgical Deaths (PSI04),PSI-4,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Collapsed lung due to medical treatment (PSI06),PSI-6,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Postoperative Hip Fracture (PSI08),PSI-8,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Perioperative Bleeding/Bruise (PSI09),PSI-9,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,2,826,2.42,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Postoperative Respiratory Failure (PSI11),PSI-11,5,697,7.17,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Perioperative Blood Clot/Embolism (PSI12),PSI-12,9,1458,6.17,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Postoperative Sepsis (PSI13),PSI-13,2,733,2.73,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,0,340,0,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,0,1008,0,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Pressure Ulcer Rate (PSI03),PSI-3,7,3559,1.97,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Inpatient Surgical Deaths (PSI04),PSI-4,5,41,121.95,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Collapsed lung due to medical treatment (PSI06),PSI-6,1,6952,0.14,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,0,4192,0,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Postoperative Hip Fracture (PSI08),PSI-8,1,5831,0.17,,10/1/2015,3/31/2017
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,Perioperative Bleeding/Bruise (PSI09),PSI-9,1,1375,0.73,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,4,1469,2.72,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Postoperative Respiratory Failure (PSI11),PSI-11,9,1114,8.08,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Perioperative Blood Clot/Embolism (PSI12),PSI-12,11,2423,4.54,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Postoperative Sepsis (PSI13),PSI-13,7,1456,4.81,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,0,488,0,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,0,1140,0,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Pressure Ulcer Rate (PSI03),PSI-3,3,5419,0.55,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Inpatient Surgical Deaths (PSI04),PSI-4,10,87,114.94,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Collapsed lung due to medical treatment (PSI06),PSI-6,2,8345,0.24,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,0,5327,0,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Postoperative Hip Fracture (PSI08),PSI-8,0,6753,0,,10/1/2015,3/31/2017
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,Perioperative Bleeding/Bruise (PSI09),PSI-9,5,2276,2.2,,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Postoperative Respiratory Failure (PSI11),PSI-11,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Perioperative Blood Clot/Embolism (PSI12),PSI-12,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Postoperative Sepsis (PSI13),PSI-13,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Pressure Ulcer Rate (PSI03),PSI-3,0,644,0,,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Inpatient Surgical Deaths (PSI04),PSI-4,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Collapsed lung due to medical treatment (PSI06),PSI-6,0,1432,0,,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,0,923,0,,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Postoperative Hip Fracture (PSI08),PSI-8,0,1208,0,,10/1/2015,3/31/2017
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Perioperative Bleeding/Bruise (PSI09),PSI-9,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,0,55,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Postoperative Respiratory Failure (PSI11),PSI-11,1,52,19.23,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Perioperative Blood Clot/Embolism (PSI12),PSI-12,1,147,6.8,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Postoperative Sepsis (PSI13),PSI-13,0,43,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,0,74,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,0,259,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Pressure Ulcer Rate (PSI03),PSI-3,0,1563,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Inpatient Surgical Deaths (PSI04),PSI-4,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Collapsed lung due to medical treatment (PSI06),PSI-6,0,2767,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,0,1769,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Postoperative Hip Fracture (PSI08),PSI-8,0,2352,0,,10/1/2015,3/31/2017
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,Perioperative Bleeding/Bruise (PSI09),PSI-9,0,138,0,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,3,1351,2.22,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Postoperative Respiratory Failure (PSI11),PSI-11,3,962,3.12,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Perioperative Blood Clot/Embolism (PSI12),PSI-12,7,2259,3.1,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Postoperative Sepsis (PSI13),PSI-13,11,1305,8.43,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,0,430,0,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,2,946,2.11,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Pressure Ulcer Rate (PSI03),PSI-3,11,5249,2.1,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Inpatient Surgical Deaths (PSI04),PSI-4,5,86,58.14,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Collapsed lung due to medical treatment (PSI06),PSI-6,3,9770,0.31,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,0,5364,0,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Postoperative Hip Fracture (PSI08),PSI-8,0,7515,0,,10/1/2015,3/31/2017
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,Perioperative Bleeding/Bruise (PSI09),PSI-9,5,2177,2.3,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,0,288,0,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Postoperative Respiratory Failure (PSI11),PSI-11,1,258,3.88,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Perioperative Blood Clot/Embolism (PSI12),PSI-12,0,679,0,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Postoperative Sepsis (PSI13),PSI-13,0,264,0,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,0,138,0,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,0,468,0,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Pressure Ulcer Rate (PSI03),PSI-3,0,2311,0,,10/1/2015,3/31/2017
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,Inpatient Surgical Deaths (PSI04),PSI-4,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
