Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,HBIPS-3_Overall,Hours of seclusion,0,2471,,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,6,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,HBIPS-6_Overall,Post-discharge continuing care plan created,63,240,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,63,240,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,SUB-1,Alcohol Use Screening,85,500,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,TOB-1,Tobacco Use Screening,98,500,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,TOB-2,Tobacco Use Treatment Provided or Offered,83,300,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,TOB-2a,Tobacco Use Treatment (during the hospital stay),40,300,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,HBIPS-2_Overall,Hours of physical-restraint use,0,3777,,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,HBIPS-3_Overall,Hours of seclusion,0.43,3777,,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,4,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,HBIPS-6_Overall,Post-discharge continuing care plan created,99,279,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,99,279,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,SUB-1,Alcohol Use Screening,52,293,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,TOB-1,Tobacco Use Screening,99,300,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,TOB-2,Tobacco Use Treatment Provided or Offered,21,80,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014573042,TOB-2a,Tobacco Use Treatment (during the hospital stay),21,80,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,HBIPS-2_Overall,Hours of physical-restraint use,5.22,5367,,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,HBIPS-3_Overall,Hours of seclusion,0,5367,,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,10,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,HBIPS-6_Overall,Post-discharge continuing care plan created,28,221,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,26,221,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,SUB-1,Alcohol Use Screening,57,437,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,TOB-1,Tobacco Use Screening,99,444,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,TOB-2,Tobacco Use Treatment Provided or Offered,34,119,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,TOB-2a,Tobacco Use Treatment (during the hospital stay),15,119,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,HBIPS-2_Overall,Hours of physical-restraint use,1.37,3473,,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,HBIPS-3_Overall,Hours of seclusion,0,3473,,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,15,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,HBIPS-6_Overall,Post-discharge continuing care plan created,22,273,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,22,273,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,SUB-1,Alcohol Use Screening,53,285,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,TOB-1,Tobacco Use Screening,94,284,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,TOB-2,Tobacco Use Treatment Provided or Offered,31,100,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,5186265000,TOB-2a,Tobacco Use Treatment (during the hospital stay),12,100,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,HBIPS-2_Overall,Hours of physical-restraint use,Not Available,0,7 - No cases met the criteria for this measure.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,HBIPS-3_Overall,Hours of seclusion,Not Available,0,7 - No cases met the criteria for this measure.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,0,7 - No cases met the criteria for this measure.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,HBIPS-6_Overall,Post-discharge continuing care plan created,Not Available,0,7 - No cases met the criteria for this measure.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,Not Available,0,7 - No cases met the criteria for this measure.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,SUB-1,Alcohol Use Screening,100,173,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,TOB-1,Tobacco Use Screening,100,173,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,TOB-2,Tobacco Use Treatment Provided or Offered,92,64,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,6076644000,TOB-2a,Tobacco Use Treatment (during the hospital stay),41,64,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,HBIPS-2_Overall,Hours of physical-restraint use,0.14,5598,,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,HBIPS-3_Overall,Hours of seclusion,0.14,5598,,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,5,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,HBIPS-6_Overall,Post-discharge continuing care plan created,79,270,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,69,270,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,SUB-1,Alcohol Use Screening,39,522,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,TOB-1,Tobacco Use Screening,98,526,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,TOB-2,Tobacco Use Treatment Provided or Offered,17,151,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,7168623611,TOB-2a,Tobacco Use Treatment (during the hospital stay),17,151,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,HBIPS-2_Overall,Hours of physical-restraint use,0.06,4567,,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,HBIPS-3_Overall,Hours of seclusion,1.8,4567,,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,10,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,HBIPS-6_Overall,Post-discharge continuing care plan created,28,248,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,28,248,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,SUB-1,Alcohol Use Screening,92,419,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,TOB-1,Tobacco Use Screening,100,427,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,TOB-2,Tobacco Use Treatment Provided or Offered,23,95,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,TOB-2a,Tobacco Use Treatment (during the hospital stay),13,95,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,HBIPS-2_Overall,Hours of physical-restraint use,0.24,6877,,1/1/2015,12/31/2015
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,HBIPS-3_Overall,Hours of seclusion,0.26,6877,,1/1/2015,12/31/2015
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,9,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,HBIPS-6_Overall,Post-discharge continuing care plan created,29,259,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,7185849000,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,27,259,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
