"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","74","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","190","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","42","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","71","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","57","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","48","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","78","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","90","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","48","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","84","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","73","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","129","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","45","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","73","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","66","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","66","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","37","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","40","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","53","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","78","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","209","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","18","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","13","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","69","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","68","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","36","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","50","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","59","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","54","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","0","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","74","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","49","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
